"municode" "sex" "age" "pop"
"5200050" "m" 60 9.4345426048333
"5200050" "m" 61 19.2217472465953
"5200050" "m" 62 22.8812087925108
"5200050" "m" 63 17.0732673311003
"5200050" "m" 64 13.1478672064488
"5200050" "m" 65 24.9931739975975
"5200050" "m" 66 7.1721192479153
"5200050" "m" 67 5.9974691927795
"5200050" "m" 68 32.8875258425945
"5200050" "m" 69 13.0292755448475
"5200050" "m" 70 6.8102440149852
"5200050" "m" 71 12.4585041334457
"5200050" "m" 72 7.5276398886209
"5200050" "m" 73 3.3076139433751
"5200050" "m" 74 18.1703103429897
"5200050" "m" 75 13.5010505624271
"5200050" "m" 76 11.5911360247661
"5200050" "m" 77 10.8233891895983
"5200050" "m" 78 5.5749575187969
"5200050" "m" 82 8.4065947525993
"5200050" "m" 84 1.5022992929147
"5200050" "m" 86 4.8146490378372
"5200050" "m" 89 4.9879379188829
"5200050" "m" 93 2.73082610285
"5200100" "f" 0 88.8152086723881
"5200100" "f" 1 129.94149268418
"5200100" "f" 2 144.837810081798
"5200100" "f" 3 78.365448304175
"5200100" "f" 4 88.3679267681709
"5200100" "f" 5 132.869044236837
"5200100" "f" 6 73.3734310749279
"5200100" "f" 7 120.967409781235
"5200100" "f" 8 142.28768002641
"5200100" "f" 9 125.502434880584
"5200100" "f" 10 157.709021426802
"5200100" "f" 11 147.695088924604
"5200100" "f" 12 127.589333483975
"5200100" "f" 13 136.166467635934
"5200100" "f" 14 140.840088528677
"5200100" "f" 15 183.81957231134
"5200100" "f" 16 156.278053405071
"5200100" "f" 17 112.032871531381
"5200100" "f" 18 123.89641932423
"5200100" "f" 19 188.973083427971
"5200100" "f" 20 165.193705756536
"5200100" "f" 21 178.868799535143
"5200100" "f" 22 110.443578443129
"5200100" "f" 23 124.51223936025
"5200100" "f" 24 103.981676904936
"5200100" "f" 25 86.6237129974138
"5200100" "f" 26 141.859022775424
"5200100" "f" 27 134.261174489409
"5200100" "f" 28 109.920574662019
"5200100" "f" 29 155.33551507573
"5200100" "f" 30 127.176994399756
"5200100" "f" 31 173.331105176689
"5200100" "f" 32 114.173557655016
"5200100" "f" 33 81.1176854667777
"5200100" "f" 34 135.200657301756
"5200100" "f" 35 163.726953419051
"5200100" "f" 36 77.4822438001128
"5200100" "f" 37 112.493813704992
"5200100" "f" 38 136.447661645972
"5200100" "f" 39 145.849327429866
"5200100" "f" 40 132.018126229302
"5200100" "f" 41 96.9764366609403
"5200100" "f" 42 93.8926971354454
"5200100" "f" 43 90.9412402323601
"5200100" "f" 44 135.171499741947
"5200100" "f" 45 119.694608360741
"5200100" "f" 46 109.197945378281
"5200100" "f" 47 67.212412901787
"5200100" "f" 48 74.7889811839364
"5200100" "f" 49 108.106052175252
"5200100" "f" 50 81.8527814766229
"5200100" "f" 51 60.7950767503838
"5200100" "f" 52 81.3147995633137
"5200100" "f" 53 65.8476551672925
"5200100" "f" 54 60.9968385714933
"5200100" "f" 55 68.3140167983737
"5200100" "f" 56 71.7641846978093
"5200100" "f" 57 42.2601448348258
"5200100" "f" 58 43.8988241616187
"5200100" "f" 59 89.9556779782616
"5200100" "f" 60 74.7479067960803
"5200100" "f" 61 87.4930571584667
"5200100" "f" 62 22.2045012844144
"5200100" "f" 63 27.2117555320782
"5200100" "f" 64 54.2797002995748
