"municode" "muniname" "sex" "age" "pop_std" "mx_std" "pop_obs" "mx_obs"
520551 "Cocalzinho de Goiás" "f" 74 383342 0.027808 11.005920013898 0
520551 "Cocalzinho de Goiás" "f" 75 347796 0.030711 31.5677388073174 0
520551 "Cocalzinho de Goiás" "f" 76 300854 0.035978 17.6502897140868 0.0566562938171997
520551 "Cocalzinho de Goiás" "f" 77 288022 0.038372 38.4241819611523 0.0260252775455577
520551 "Cocalzinho de Goiás" "f" 78 279883 0.041407 16.4656709757524 0.060732417249963
520551 "Cocalzinho de Goiás" "f" 79 256375 0.047883 5.3083694123399 0.18838176515662
520551 "Cocalzinho de Goiás" "f" 80 267401 0.046937 10.7052106521359 0.0934124542239139
520551 "Cocalzinho de Goiás" "f" 81 203290 0.062526 6.4231404639943 0
520551 "Cocalzinho de Goiás" "f" 82 193899 0.064647 0 0
520551 "Cocalzinho de Goiás" "f" 83 176495 0.070223 16.9964128013898 0.0588359444834283
520551 "Cocalzinho de Goiás" "f" 84 157264 0.077691 10.8771967213465 0
520551 "Cocalzinho de Goiás" "f" 85 138790 0.084372 0 0
520551 "Cocalzinho de Goiás" "f" 86 117267 0.095671 5.5109749663066 0.181456095539151
520551 "Cocalzinho de Goiás" "f" 87 100588 0.10369 6.4988624795415 0
520551 "Cocalzinho de Goiás" "f" 88 81920 0.118726 0 0
520551 "Cocalzinho de Goiás" "f" 89 70159 0.126598 5.2648336292525 0
520551 "Cocalzinho de Goiás" "f" 90 67510 0.122041 0 0
520551 "Cocalzinho de Goiás" "f" 91 46409 0.164968 0 0
520551 "Cocalzinho de Goiás" "f" 92 39539 0.166848 0 0
520551 "Cocalzinho de Goiás" "f" 93 32021 0.184566 0 0
520551 "Cocalzinho de Goiás" "f" 94 26115 0.196477 5.317581815771 0
520551 "Cocalzinho de Goiás" "f" 95 21515 0.199907 0 0
520551 "Cocalzinho de Goiás" "f" 96 16184 0.215707 0 0
520551 "Cocalzinho de Goiás" "f" 97 12265 0.21916 0 0
520551 "Cocalzinho de Goiás" "f" 98 9395 0.225439 0 0
520551 "Cocalzinho de Goiás" "f" 99 7447 0.217134 0 0
520551 "Cocalzinho de Goiás" "m" 0 1378532 0.015456 119.379502432952 0.025129942233466
520551 "Cocalzinho de Goiás" "m" 1 1369425 0.0012 136.314071360852 0
520551 "Cocalzinho de Goiás" "m" 2 1387143 0.000675 111.941462719109 0
520551 "Cocalzinho de Goiás" "m" 3 1419295 0.00048 174.467467978552 0
520551 "Cocalzinho de Goiás" "m" 4 1462592 0.000394 144.43875101779 0
520551 "Cocalzinho de Goiás" "m" 5 1493253 0.000348 159.360253374469 0.00627509042452495
520551 "Cocalzinho de Goiás" "m" 6 1472635 0.00033 139.306522594338 0
520551 "Cocalzinho de Goiás" "m" 7 1506828 0.00032 122.929850934861 0
520551 "Cocalzinho de Goiás" "m" 8 1528003 0.000312 213.302565291073 0
520551 "Cocalzinho de Goiás" "m" 9 1623425 0.00029 187.100807805261 0
520551 "Cocalzinho de Goiás" "m" 10 1793146 0.000283 187.442454700586 0
520551 "Cocalzinho de Goiás" "m" 11 1709291 0.000307 192.015927574884 0
520551 "Cocalzinho de Goiás" "m" 12 1727220 0.000353 173.138602568749 0
520551 "Cocalzinho de Goiás" "m" 13 1728588 0.00044 208.39424170642 0
520551 "Cocalzinho de Goiás" "m" 14 1767168 0.000612 196.008773449361 0
520551 "Cocalzinho de Goiás" "m" 15 1802172 0.000955 158.814622128988 0
