"year" "sex" "age" "deaths"
2010 "f" 42 2589
2010 "f" 43 2808
2010 "f" 44 3026
2010 "f" 45 3290
2010 "f" 46 3607
2010 "f" 47 3716
2010 "f" 48 3984
2010 "f" 49 4000
2010 "f" 50 4319
2010 "f" 51 4413
2010 "f" 52 4909
2010 "f" 53 4863
2010 "f" 54 5104
2010 "f" 55 5235
2010 "f" 56 5581
2010 "f" 57 5695
2010 "f" 58 5953
2010 "f" 59 6044
2010 "f" 60 6409
2010 "f" 61 6363
2010 "f" 62 6933
2010 "f" 63 7016
2010 "f" 64 6902
2010 "f" 65 7451
2010 "f" 66 7788
2010 "f" 67 7885
2010 "f" 68 7992
2010 "f" 69 8352
2010 "f" 70 9381
2010 "f" 71 9420
2010 "f" 72 9598
2010 "f" 73 10114
2010 "f" 74 11047
2010 "f" 75 10637
2010 "f" 76 10480
2010 "f" 77 11051
2010 "f" 78 11575
2010 "f" 79 12388
2010 "f" 80 12756
2010 "f" 81 12539
2010 "f" 82 12555
2010 "f" 83 12342
2010 "f" 84 12343
2010 "f" 85 11811
2010 "f" 86 10996
2010 "f" 87 10468
2010 "f" 88 9588
2010 "f" 89 8871
2010 "f" 90 8405
2010 "f" 91 7591
2010 "f" 92 6698
2010 "f" 93 5862
2010 "f" 94 5308
2010 "f" 95 4515
2010 "f" 96 3453
2010 "f" 97 2774
2010 "f" 98 2053
2010 "f" 99 1700
2010 "f" 100 1220
2010 "f" 101 784
2010 "f" 102 649
2010 "f" 103 548
2010 "f" 104 445
2010 "f" 105 245
2010 "f" 106 136
2010 "f" 107 78
2010 "f" 108 51
2010 "f" 109 31
2010 "f" 110 16
2010 "f" 111 8
2010 "f" 112 1
2010 "f" 113 1
2010 "f" 114 3
2010 "f" 115 4
2010 "m" 0 20715
2010 "m" 1 1701
2010 "m" 2 922
2010 "m" 3 658
2010 "m" 4 566
2010 "m" 5 517
2010 "m" 6 498
2010 "m" 7 464
2010 "m" 8 475
2010 "m" 9 453
2010 "m" 10 514
2010 "m" 11 522
2010 "m" 12 609
2010 "m" 13 755
2010 "m" 14 1093
2010 "m" 15 1724
2010 "m" 16 2416
2010 "m" 17 3115
2010 "m" 18 3672
2010 "m" 19 4022
2010 "m" 20 4481
2010 "m" 21 4730
2010 "m" 22 4582
2010 "m" 23 4557
2010 "m" 24 4481
2010 "m" 25 4397
2010 "m" 26 4329
2010 "m" 27 4562
2010 "m" 28 4716
2010 "m" 29 4514
2010 "m" 30 4519
2010 "m" 31 4480
2010 "m" 32 4377
2010 "m" 33 4377
2010 "m" 34 4326
2010 "m" 35 4492
2010 "m" 36 4307
2010 "m" 37 4522
2010 "m" 38 4560
2010 "m" 39 4765
2010 "m" 40 4994
2010 "m" 41 5231
2010 "m" 42 5486
2010 "m" 43 5638
2010 "m" 44 6055
2010 "m" 45 6250
2010 "m" 46 6752
2010 "m" 47 7019
2010 "m" 48 6979
2010 "m" 49 7251
2010 "m" 50 7759
2010 "m" 51 7918
2010 "m" 52 8564
2010 "m" 53 8529
2010 "m" 54 9074
2010 "m" 55 9154
2010 "m" 56 9429
2010 "m" 57 9453
2010 "m" 58 9830
2010 "m" 59 9837
2010 "m" 60 10247
2010 "m" 61 10200
2010 "m" 62 10417
2010 "m" 63 10452
2010 "m" 64 10456
2010 "m" 65 10674
2010 "m" 66 11015
2010 "m" 67 11380
2010 "m" 68 11037
2010 "m" 69 11508
2010 "m" 70 12606
2010 "m" 71 12423
2010 "m" 72 12317
2010 "m" 73 12397
2010 "m" 74 13038
2010 "m" 75 12799
2010 "m" 76 12078
2010 "m" 77 12430
2010 "m" 78 12413
2010 "m" 79 12687
2010 "m" 80 12548
2010 "m" 81 11694
2010 "m" 82 11224
2010 "m" 83 10868
2010 "m" 84 10332
2010 "m" 85 9658
2010 "m" 86 8746
2010 "m" 87 7915
2010 "m" 88 6871
2010 "m" 89 6105
2010 "m" 90 5460
2010 "m" 91 4677
2010 "m" 92 4105
2010 "m" 93 3317
2010 "m" 94 2890
2010 "m" 95 2276
2010 "m" 96 1726
2010 "m" 97 1371
2010 "m" 98 1028
2010 "m" 99 820
2010 "m" 100 578
2010 "m" 101 343
2010 "m" 102 265
2010 "m" 103 211
2010 "m" 104 157
2010 "m" 105 70
2010 "m" 106 36
2010 "m" 107 23
2010 "m" 108 15
2010 "m" 109 14
2010 "m" 110 5
2010 "m" 111 3
2010 "m" 112 1
2010 "m" 114 2
2010 "m" 115 4
2011 "f" 0 16279
2011 "f" 1 1306
2011 "f" 2 723
2011 "f" 3 530
2011 "f" 4 433
2011 "f" 5 400
2011 "f" 6 381
2011 "f" 7 352
