"p0" "mu_0" "sigma2_0" "rho_0" "mu" "sigma2" "rho" "k"
"(9.52, 15.03, 0.63)" 9.52 15.03 0.63 9.52 15.03 0.63 0
"(9.52, 15.03, 0.64)" 9.52 15.03 0.64 11.05 28.16 0.652 47
"(9.52, 15.03, 0.65)" 9.52 15.03 0.65 9.36 14.96 0.012 22
"(9.52, 15.03, 0.66)" 9.52 15.03 0.66 9.36 14.96 0.012 24
"(9.52, 15.03, 0.67)" 9.52 15.03 0.67 9.36 14.96 0.012 23
"(9.52, 15.03, 0.68)" 9.52 15.03 0.68 9.36 14.96 0.012 24
"(9.52, 15.03, 0.69)" 9.52 15.03 0.69 11.05 28.16 0.652 50
"(9.52, 15.03, 0.7)" 9.52 15.03 0.7 9.52 15.03 0.7 0
"(9.52, 15.03, 0.71)" 9.52 15.03 0.71 9.36 14.96 0.012 22
"(9.52, 15.03, 0.72)" 9.52 15.03 0.72 9.36 14.96 0.012 24
"(9.52, 15.03, 0.73)" 9.52 15.03 0.73 9.36 14.96 0.012 25
"(9.52, 15.03, 0.74)" 9.52 15.03 0.74 9.36 14.96 0.012 27
"(9.52, 15.03, 0.75)" 9.52 15.03 0.75 9.52 15.03 0.75 0
"(9.52, 15.03, 0.76)" 9.52 15.03 0.76 9.52 15.03 0.76 0
"(9.52, 15.03, 0.77)" 9.52 15.03 0.77 10.42 18.49 0.304 21
"(9.52, 15.03, 0.78)" 9.52 15.03 0.78 9.36 14.96 0.012 23
"(9.52, 15.03, 0.79)" 9.52 15.03 0.79 9.36 14.96 0.012 20
"(9.52, 15.03, 0.8)" 9.52 15.03 0.8 9.75 17.54 0.259 35
"(9.52, 15.03, 0.81)" 9.52 15.03 0.81 9.36 14.96 0.012 24
"(9.52, 15.03, 0.82)" 9.52 15.03 0.82 9.36 14.96 0.012 25
"(9.52, 15.03, 0.83)" 9.52 15.03 0.83 9.52 15.03 0.83 0
"(9.52, 15.03, 0.84)" 9.52 15.03 0.84 9.52 15.03 0.84 0
"(9.52, 15.03, 0.85)" 9.52 15.03 0.85 9.52 15.03 0.85 0
"(9.52, 15.03, 0.86)" 9.52 15.03 0.86 9.52 15.03 0.86 0
"(9.52, 15.03, 0.87)" 9.52 15.03 0.87 9.36 14.96 0.012 24
"(9.52, 15.03, 0.88)" 9.52 15.03 0.88 9.36 14.96 0.012 24
"(9.52, 15.03, 0.89)" 9.52 15.03 0.89 9.36 14.96 0.012 21
"(9.52, 15.03, 0.9)" 9.52 15.03 0.9 9.36 14.96 0.012 23
